distance_km,estimated_duration_min,avg_speed_kmh,road_type_score,traffic_level,weather_risk,rainfall_mm,time_of_day,day_of_week,urban_density,accident_risk_score,construction_risk_score,elevation_variation,temperature_c,humidity,wind_speed_kmh,season,region_type,vehicle_load_factor,road_condition_label
69.96,50.43,83.24,0.89,0.53,0.23,2.29,afternoon_peak,saturday,0.41,0.34,0.18,11.44,10.87,0.55,22.64,spring,regional,0.46,Good
26.21,41.41,37.97,0.44,0.45,0.65,8.17,evening,saturday,0.54,0.4,0.25,1.9,14.52,0.68,23.08,autumn,suburban,0.41,Moderate
147.68,127.05,69.74,0.87,0.29,0.31,3.98,evening,saturday,0.21,0.39,0.16,14.44,7.12,0.51,15.4,spring,regional,0.25,Excellent
125.55,114.55,65.76,0.78,0.5,0.08,0.0,afternoon_peak,thursday,0.13,0.38,0.3,14.84,20.76,0.51,14.71,summer,regional,0.37,Excellent
8.52,19.07,26.8,0.3,0.74,0.61,3.92,midday,friday,0.84,0.5,0.25,6.68,-3.79,0.62,16.76,winter,urban,0.47,Poor
284.19,248.03,68.75,0.69,0.41,0.25,3.1,early_morning,tuesday,0.26,0.29,0.3,25.54,9.09,0.53,18.16,spring,regional,0.44,Good
8.78,27.88,18.89,0.44,0.99,0.6,7.07,afternoon_peak,monday,0.98,0.59,0.51,6.77,9.49,0.72,28.19,winter,urban,0.47,Very Poor
77.42,116.27,39.95,0.62,0.45,0.3,3.29,evening,monday,0.43,0.48,0.18,6.57,4.26,0.62,14.5,spring,suburban,0.32,Good
293.05,247.64,71.0,0.64,0.45,0.31,3.58,morning_peak,thursday,0.17,0.43,0.2,25.39,14.22,0.58,18.43,spring,regional,0.48,Good
85.62,58.14,88.36,0.84,0.43,0.23,2.26,evening,monday,0.17,0.38,0.28,11.3,10.35,0.55,16.18,spring,regional,0.24,Excellent
65.95,69.91,56.6,0.46,0.51,0.59,5.41,afternoon_peak,saturday,0.42,0.46,0.22,10.49,-1.28,0.77,23.23,winter,suburban,0.33,Moderate
168.86,152.35,66.5,0.63,0.28,0.13,0.61,evening,sunday,0.36,0.2,0.36,8.72,14.49,0.45,11.35,summer,regional,0.51,Excellent
83.74,92.7,54.2,0.73,0.68,0.65,4.05,afternoon_peak,monday,0.37,0.55,0.24,7.92,0.43,0.66,22.81,winter,regional,0.53,Moderate
25.25,29.5,51.36,0.51,0.4,0.42,3.24,early_morning,saturday,0.46,0.42,0.27,1.0,11.05,0.57,25.96,autumn,suburban,0.38,Good
187.06,155.87,72.0,0.93,0.57,0.19,0.9,morning_peak,friday,0.27,0.38,0.26,23.28,24.91,0.44,15.64,summer,regional,0.5,Excellent
186.89,135.53,82.74,0.85,0.44,0.49,3.89,midday,thursday,0.37,0.49,0.3,22.71,9.24,0.59,23.91,autumn,regional,0.49,Good
255.71,205.06,74.82,0.71,0.43,0.5,5.11,evening,thursday,0.4,0.3,0.26,32.54,10.29,0.55,21.52,autumn,regional,0.41,Good
22.79,44.45,30.77,0.55,0.69,0.11,0.62,evening,wednesday,0.79,0.39,0.43,13.23,13.77,0.52,19.0,summer,urban,0.42,Moderate
